UID          PID    PPID  C STIME TTY          TIME CMD
root         130       2  0 Sep26 ?        00:00:00 [scsi_tmf_5]
root         138       2  0 Sep26 ?        00:00:00 [dm_bufio_cache]
root         139       2  0 Sep26 ?        00:00:00 [ipv6_addrconf]
root         145       2  0 Sep26 ?        00:00:00 [kstrp]
root         185       2  0 Sep26 ?        00:00:00 [zswap-shrink]
root         193       2  0 Sep26 ?        00:00:07 [kworker/1:1H-events_highpri]
root         194       2  0 Sep26 ?        00:00:08 [kworker/2:1H-events_highpri]
root         382       2  0 Sep26 ?        00:00:00 [sdhci]
root         385       2  0 Sep26 ?        00:00:07 [kworker/3:1H-kblockd]
root         423       2  0 Sep26 ?        00:00:00 [ttm_swap]
root         430       2  0 Sep26 ?        00:00:09 [kworker/0:1H-kblockd]
root         471       2  0 Sep26 ?        00:00:00 [kdmflush]
root         478       2  0 Sep26 ?        00:00:00 [kdmflush]
root         494       2  0 Sep26 ?        00:00:00 [jbd2/dm-0-8]
root         495       2  0 Sep26 ?        00:00:00 [ext4-rsv-conver]
root         588       1  0 Sep26 ?        00:00:05 /usr/lib/systemd/systemd-journald
root         602       1  0 Sep26 ?        00:00:02 /usr/lib/systemd/systemd-udevd
root         652       2  0 Sep26 ?        00:00:00 [cfg80211]
root         661       2  0 Sep26 ?        00:00:00 [kdmflush]
root         662       2  0 Sep26 ?        00:00:00 [kdmflush]
root         683       2  0 Sep26 ?        00:03:16 [irq/35-iwlwifi]
root         720       2  0 Sep26 ?        00:00:08 [jbd2/dm-3-8]
root         721       2  0 Sep26 ?        00:00:00 [ext4-rsv-conver]
root         722       2  0 Sep26 ?        00:00:00 [jbd2/dm-2-8]
root         723       2  0 Sep26 ?        00:00:00 [ext4-rsv-conver]
root         724       2  0 Sep26 ?        00:00:00 [jbd2/sda9-8]
root         725       2  0 Sep26 ?        00:00:00 [ext4-rsv-conver]
root         736       2  0 Sep26 ?        00:00:00 [loop0]
root         738       2  0 Sep26 ?        00:00:00 [loop1]
root         740       2  0 Sep26 ?        00:00:00 [loop2]
root         762       2  0 Sep26 ?        00:00:00 [rpciod]
root         763       2  0 Sep26 ?        00:00:00 [xprtiod]
root         765       1  0 Sep26 ?        00:00:00 /sbin/auditd
root         784       1  0 Sep26 ?        00:00:00 /usr/sbin/ModemManager
avahi        785       1  0 Sep26 ?        00:00:12 avahi-daemon: running [linux.local]
root         786       1  0 Sep26 ?        00:00:00 /usr/libexec/bluetooth/bluetoothd
earlyoom     787       1  0 Sep26 ?        00:00:10 /usr/bin/earlyoom -r 0 -m 4 -M 409600 --prefer ^Web Content$ --avoid ^(dnf|packagekitd|gnome-shell|gnome-session-c|gnome-session-b|lightdm|sddm|sddm-helper|gdm|gdm-wayland-ses|gdm-session-wor|gdm-x-session|Xorg|Xwayland|systemd|systemd-logind|dbus-daemon|dbus-broker|cinnamon|cinnamon-sessio|kwin_x11|kwin_wayland|plasmashell|ksmserver|plasma_session|startplasma-way|xfce4-session|mate-session|marco|lxqt-session|openbox)$
root         789       1  0 Sep26 ?        00:00:00 /usr/sbin/mcelog --ignorenodev --daemon --foreground
root         791       1  0 Sep26 ?        00:00:24 /sbin/rngd -f
rtkit        794       1  0 Sep26 ?        00:00:01 /usr/libexec/rtkit-daemon
root         804       1  0 Sep26 ?        00:00:00 /usr/sbin/smartd -n -q never
root         805       1  0 Sep26 ?        00:00:00 /usr/sbin/sssd -i --logger=files
root         806       1  0 Sep26 ?        00:00:00 /usr/libexec/switcheroo-control
root         808       1  0 Sep26 ?        00:00:00 /usr/lib/systemd/systemd-homed
root         809       1  0 Sep26 ?        00:00:00 /usr/lib/systemd/systemd-machined
root         810       1  0 Sep26 ?        00:00:14 /usr/libexec/udisks2/udisksd
root         811       1  0 Sep26 ?        00:00:03 /usr/libexec/upowerd
avahi        812     785  0 Sep26 ?        00:00:00 avahi-daemon: chroot helper
dbus         843       1  0 Sep26 ?        00:00:00 /usr/bin/dbus-broker-launch --scope system --audit
root         845       1  0 Sep26 ?        00:00:00 /usr/sbin/abrtd -d -s
dbus         853     843  0 Sep26 ?        00:00:08 dbus-broker --log 4 --controller 9 --machine-id 338a696e13404b23904192466ea3f7c1 --max-bytes 536870912 --max-fds 4096 --max-matches 131072 --audit
root         854       1  0 Sep26 ?        00:00:28 /usr/sbin/NetworkManager --no-daemon
root         860       1  0 Sep26 ?        00:00:00 /usr/sbin/alsactl -s -n 19 -c -E ALSA_CONFIG_PATH=/etc/alsa/alsactl.conf --initfile=/lib/alsa/init/00main rdaemon
root         868       1  0 Sep26 ?        00:00:00 /usr/bin/abrt-dump-journal-core -D -T -f -e
root         869       1  0 Sep26 ?        00:00:00 /usr/bin/abrt-dump-journal-oops -fxtD
chrony       871       1  0 Sep26 ?        00:00:00 /usr/sbin/chronyd
root         872     805  0 Sep26 ?        00:00:01 /usr/libexec/sssd/sssd_be --domain implicit_files --uid 0 --gid 0 --logger=files
root         873       1  0 Sep26 ?        00:00:00 /usr/bin/abrt-dump-journal-xorg -fxtD
polkitd      875       1  0 Sep26 ?        00:00:04 /usr/lib/polkit-1/polkitd --no-debug
root         896       1  0 Sep26 ?        00:00:00 /usr/sbin/gssproxy -D
root        1038       1  0 Sep26 ?        00:00:02 /usr/sbin/wpa_supplicant -c /etc/wpa_supplicant/wpa_supplicant.conf -u -s
root        1040     805  0 Sep26 ?        00:00:02 /usr/libexec/sssd/sssd_nss --uid 0 --gid 0 --logger=files
root        1041       1  0 Sep26 ?        00:00:00 /usr/libexec/accounts-daemon
root        1042       1  0 Sep26 ?        00:00:00 /usr/sbin/cupsd -l
root        1043       1  0 Sep26 ?        00:00:03 /usr/lib/systemd/systemd-logind
root        1163       1  0 Sep26 ?        00:00:00 /usr/sbin/atd -f
root        1177       1  0 Sep26 ?        00:00:00 /usr/sbin/crond -n
root        1178       1  0 Sep26 ?        00:00:00 /usr/sbin/gdm
mysql       1180       1  0 Sep26 ?        00:12:25 /usr/sbin/mysqld
root        1209       1  0 Sep26 ?        00:00:00 /usr/lib/systemd/systemd-userdbd
dnsmasq     1316       1  0 Sep26 ?        00:00:00 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/libexec/libvirt_leaseshelper
root        1317    1316  0 Sep26 ?        00:00:00 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/libexec/libvirt_leaseshelper
root        1486       1  0 Sep26 ?        00:00:50 /usr/libexec/packagekitd
colord      1744       1  0 Sep26 ?        00:00:00 /usr/libexec/colord
root        1767    1178  0 Sep26 ?        00:00:00 gdm-session-worker [pam/gdm-password]
bharath     1779       1  0 Sep26 ?        00:00:01 /usr/lib/systemd/systemd --user
bharath     1784    1779  0 Sep26 ?        00:00:00 (sd-pam)
bharath     1806       1  0 Sep26 ?        00:00:01 /usr/bin/gnome-keyring-daemon --daemonize --login
bharath     1811    1767  0 Sep26 tty2     00:00:00 /usr/libexec/gdm-wayland-session /usr/bin/gnome-session
bharath     1813    1779  0 Sep26 ?        00:00:00 /usr/bin/dbus-broker-launch --scope user
bharath     1814    1813  0 Sep26 ?        00:00:02 dbus-broker --log 4 --controller 11 --machine-id 338a696e13404b23904192466ea3f7c1 --max-bytes 100000000000000 --max-fds 25000000000000 --max-matches 5000000000
bharath     1816    1811  0 Sep26 tty2     00:00:00 /usr/libexec/gnome-session-binary
bharath     1868    1779  0 Sep26 ?        00:00:00 /usr/libexec/gvfsd
bharath     1896    1779  0 Sep26 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
bharath     1923    1779  0 Sep26 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
bharath     1924    1779  0 Sep26 ?        00:07:42 /usr/bin/pulseaudio --daemonize=no
bharath     1926    1779  0 Sep26 ?        00:00:01 /usr/libexec/gnome-session-binary --systemd-service --session=gnome
root        1940       2  0 Sep26 ?        00:00:00 [krfcommd]
bharath     1950    1779  1 Sep26 ?        00:51:28 /usr/bin/gnome-shell
bharath     1997    1779  0 Sep26 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
bharath     2002    1997  0 Sep26 ?        00:00:00 /usr/bin/dbus-broker-launch --config-file=/usr/share/defaults/at-spi2/accessibility.conf --scope user
bharath     2003    2002  0 Sep26 ?        00:00:00 dbus-broker --log 4 --controller 9 --machine-id 338a696e13404b23904192466ea3f7c1 --max-bytes 100000000000000 --max-fds 6400000 --max-matches 5000000000
bharath     2008    1950  0 Sep26 ?        00:15:50 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.Q1N0Q0 -listen 4 -listen 5 -displayfd 6 -listen 7
bharath     2036    1779  0 Sep26 ?        00:00:00 /usr/libexec/xdg-permission-store
bharath     2040    1779  0 Sep26 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
bharath     2052    1779  0 Sep26 ?        00:00:01 /usr/libexec/gvfs-udisks2-volume-monitor
bharath     2057    1779  0 Sep26 ?        00:00:03 /usr/libexec/gvfs-afc-volume-monitor
bharath     2062    1779  0 Sep26 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
bharath     2071    1779  0 Sep26 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
bharath     2072    1779  0 Sep26 ?        00:00:00 /usr/libexec/evolution-source-registry
bharath     2075    1779  0 Sep26 ?        00:00:00 /usr/libexec/goa-daemon
bharath     2082    1779  0 Sep26 ?        00:00:00 /usr/libexec/evolution-calendar-factory
bharath     2090    1779  0 Sep26 ?        00:00:00 /usr/libexec/dconf-service
bharath     2096    1779  0 Sep26 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
bharath     2110    1779  0 Sep26 ?        00:00:10 /usr/libexec/goa-identity-service
bharath     2112    1779  0 Sep26 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
bharath     2127    1779  0 Sep26 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
bharath     2128    1779  0 Sep26 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
bharath     2138    1779  0 Sep26 ?        00:00:00 /usr/libexec/gsd-a11y-settings
bharath     2139    1779  0 Sep26 ?        00:00:01 /usr/libexec/gsd-color
bharath     2141    1779  0 Sep26 ?        00:00:00 /usr/libexec/gsd-datetime
bharath     2147    1779  0 Sep26 ?        00:00:04 /usr/libexec/gsd-housekeeping
bharath     2154    1779  0 Sep26 ?        00:00:00 /usr/libexec/gsd-keyboard
bharath     2161    1779  0 Sep26 ?        00:00:01 /usr/libexec/gsd-media-keys
bharath     2162    1779  0 Sep26 ?        00:00:01 /usr/libexec/gsd-power
bharath     2165    1779  0 Sep26 ?        00:00:00 /usr/libexec/gsd-print-notifications
bharath     2167    1779  0 Sep26 ?        00:00:00 /usr/libexec/gsd-rfkill
bharath     2168    1779  0 Sep26 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
bharath     2169    1779  0 Sep26 ?        00:00:08 /usr/libexec/gsd-sharing
bharath     2171    1779  0 Sep26 ?        00:00:07 /usr/libexec/gsd-smartcard
bharath     2177    1779  0 Sep26 ?        00:00:00 /usr/libexec/gsd-sound
bharath     2186    1779  0 Sep26 ?        00:00:00 /usr/libexec/gsd-usb-protection
bharath     2188    1779  0 Sep26 ?        00:00:00 /usr/libexec/gsd-wacom
bharath     2189    1779  0 Sep26 ?        00:00:00 /usr/libexec/gsd-wwan
bharath     2198    1926  0 Sep26 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
bharath     2212    1779  0 Sep26 ?        00:00:00 /usr/bin/abrt-applet --gapplication-service
bharath     2221    1926  0 Sep26 ?        00:00:00 /bin/sh /home/bharath/.local/share/kite/kited --system-boot
bharath     2225    1926  0 Sep26 ?        00:00:09 /usr/bin/gnome-software --gapplication-service
bharath     2230    1926  0 Sep26 ?        00:00:00 /usr/libexec/tracker-miner-fs
bharath     2241    1926  0 Sep26 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
bharath     2286    2221  0 Sep26 ?        00:05:48 /home/bharath/.local/share/kite/kite-v2.20200922.0/kited --system-boot
bharath     2311    1779  0 Sep26 ?        00:00:00 /usr/libexec/gsd-printer
bharath     2437    1950  0 Sep26 ?        00:00:29 ibus-daemon --panel disable -r --xim
bharath     2443    2437  0 Sep26 ?        00:00:00 /usr/libexec/ibus-dconf
bharath     2444    2437  0 Sep26 ?        00:00:04 /usr/libexec/ibus-extension-gtk3
bharath     2446    1779  0 Sep26 ?        00:00:01 /usr/libexec/ibus-x11 --kill-daemon
bharath     2455    2437  0 Sep26 ?        00:00:09 /usr/libexec/ibus-engine-simple
bharath     2462    1779  0 Sep26 ?        00:00:00 /usr/libexec/ibus-portal
bharath     2463    1779  0 Sep26 ?        00:00:00 /usr/libexec/gsd-xsettings
root        2486       1  0 Sep26 ?        00:00:00 /usr/sbin/abrt-dbus -t133
bharath     2576    1779  0 Sep26 ?        00:00:01 /usr/bin/gnome-calendar --gapplication-service
bharath     2623    1950  0 Sep26 ?        00:32:13 /opt/google/chrome/chrome
bharath     2628    2623  0 Sep26 ?        00:00:00 cat
bharath     2629    2623  0 Sep26 ?        00:00:00 cat
bharath     2634    1868  0 Sep26 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.4 /org/gtk/gvfs/exec_spaw/0
bharath     2649    1779  0 Sep26 ?        00:00:00 /usr/libexec/bluetooth/obexd
bharath     2672    2623  0 Sep26 ?        00:00:00 /opt/google/chrome/chrome --type=zygote --no-zygote-sandbox --enable-crash-reporter=a4b7f0fc-fb5c-4629-a049-402600c8dad6,
bharath     2673    2623  0 Sep26 ?        00:00:00 /opt/google/chrome/chrome --type=zygote --enable-crash-reporter=a4b7f0fc-fb5c-4629-a049-402600c8dad6,
bharath     2689    2672  0 Sep26 ?        00:00:00 /opt/google/chrome/nacl_helper
bharath     2690    2673  0 Sep26 ?        00:00:00 /opt/google/chrome/nacl_helper
bharath     2693    2673  0 Sep26 ?        00:00:00 /opt/google/chrome/chrome --type=zygote --enable-crash-reporter=a4b7f0fc-fb5c-4629-a049-402600c8dad6,
bharath     2723    2672  1 Sep26 ?        00:59:01 /opt/google/chrome/chrome --type=gpu-process --field-trial-handle=14595486428270243459,7769370446139654322,131072 --enable-crash-reporter=a4b7f0fc-fb5c-4629-a049-402600c8dad6, --gpu-preferences=MAAAAAAAAAAgAAAQAAAAAAAAAAAAAAAAAABgAAAAAAAQAAAAAAAAAAAAAAAAAAAACAAAAAAAAAA= --shared-files
bharath     2738    2623  0 Sep26 ?        00:09:24 /opt/google/chrome/chrome --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=14595486428270243459,7769370446139654322,131072 --lang=en-GB --service-sandbox-type=network --enable-crash-reporter=a4b7f0fc-fb5c-4629-a049-402600c8dad6, --shared-files
bharath     2885    2693  0 Sep26 ?        00:01:05 /opt/google/chrome/chrome --type=renderer --field-trial-handle=14595486428270243459,7769370446139654322,131072 --lang=en-GB --enable-crash-reporter=a4b7f0fc-fb5c-4629-a049-402600c8dad6, --extension-process --enable-auto-reload --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=4 --no-v8-untrusted-code-mitigations --shared-files
bharath     2918    2693  0 Sep26 ?        00:02:55 /opt/google/chrome/chrome --type=renderer --field-trial-handle=14595486428270243459,7769370446139654322,131072 --lang=en-GB --enable-crash-reporter=a4b7f0fc-fb5c-4629-a049-402600c8dad6, --extension-process --enable-auto-reload --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=5 --no-v8-untrusted-code-mitigations --shared-files
bharath     2930    2693  0 Sep26 ?        00:00:32 /opt/google/chrome/chrome --type=renderer --field-trial-handle=14595486428270243459,7769370446139654322,131072 --lang=en-GB --enable-crash-reporter=a4b7f0fc-fb5c-4629-a049-402600c8dad6, --extension-process --enable-auto-reload --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=6 --no-v8-untrusted-code-mitigations --shared-files
bharath     2935    2693  0 Sep26 ?        00:00:43 /opt/google/chrome/chrome --type=renderer --field-trial-handle=14595486428270243459,7769370446139654322,131072 --lang=en-GB --enable-crash-reporter=a4b7f0fc-fb5c-4629-a049-402600c8dad6, --extension-process --enable-auto-reload --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=7 --no-v8-untrusted-code-mitigations --shared-files
bharath     2947    2693  0 Sep26 ?        00:00:01 /opt/google/chrome/chrome --type=renderer --field-trial-handle=14595486428270243459,7769370446139654322,131072 --lang=en-GB --enable-crash-reporter=a4b7f0fc-fb5c-4629-a049-402600c8dad6, --extension-process --enable-auto-reload --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=8 --no-v8-untrusted-code-mitigations --shared-files
bharath     2963    2693  0 Sep26 ?        00:00:00 /opt/google/chrome/chrome --type=renderer --field-trial-handle=14595486428270243459,7769370446139654322,131072 --lang=en-GB --enable-crash-reporter=a4b7f0fc-fb5c-4629-a049-402600c8dad6, --extension-process --enable-auto-reload --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=9 --no-v8-untrusted-code-mitigations --shared-files
bharath     2970    2693  0 Sep26 ?        00:00:20 /opt/google/chrome/chrome --type=renderer --field-trial-handle=14595486428270243459,7769370446139654322,131072 --lang=en-GB --enable-crash-reporter=a4b7f0fc-fb5c-4629-a049-402600c8dad6, --extension-process --enable-auto-reload --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=10 --no-v8-untrusted-code-mitigations --shared-files
bharath     2997    2693  0 Sep26 ?        00:08:14 /opt/google/chrome/chrome --type=renderer --field-trial-handle=14595486428270243459,7769370446139654322,131072 --lang=en-GB --enable-crash-reporter=a4b7f0fc-fb5c-4629-a049-402600c8dad6, --extension-process --enable-auto-reload --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=12 --no-v8-untrusted-code-mitigations --shared-files
bharath     3066    2693  0 Sep26 ?        00:02:21 /opt/google/chrome/chrome --type=renderer --field-trial-handle=14595486428270243459,7769370446139654322,131072 --lang=en-GB --enable-crash-reporter=a4b7f0fc-fb5c-4629-a049-402600c8dad6, --extension-process --enable-auto-reload --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=22 --no-v8-untrusted-code-mitigations --shared-files
bharath     3172    1779  0 Sep26 ?        00:01:04 /usr/libexec/gnome-terminal-server
bharath     3291    2623  0 Sep26 ?        00:02:29 /opt/google/chrome/chrome --type=utility --utility-sub-type=audio.mojom.AudioService --field-trial-handle=14595486428270243459,7769370446139654322,131072 --lang=en-GB --service-sandbox-type=audio --enable-crash-reporter=a4b7f0fc-fb5c-4629-a049-402600c8dad6, --shared-files
bharath     3435    2693  0 Sep26 ?        00:01:02 /opt/google/chrome/chrome --type=renderer --field-trial-handle=14595486428270243459,7769370446139654322,131072 --lang=en-GB --enable-crash-reporter=a4b7f0fc-fb5c-4629-a049-402600c8dad6, --enable-auto-reload --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=43 --no-v8-untrusted-code-mitigations --shared-files
bharath     3493    2693  0 Sep26 ?        00:00:10 /opt/google/chrome/chrome --type=renderer --field-trial-handle=14595486428270243459,7769370446139654322,131072 --lang=en-GB --enable-crash-reporter=a4b7f0fc-fb5c-4629-a049-402600c8dad6, --enable-auto-reload --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=55 --no-v8-untrusted-code-mitigations --shared-files
bharath     3511    2693  0 Sep26 ?        00:00:05 /opt/google/chrome/chrome --type=renderer --field-trial-handle=14595486428270243459,7769370446139654322,131072 --lang=en-GB --enable-crash-reporter=a4b7f0fc-fb5c-4629-a049-402600c8dad6, --enable-auto-reload --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=56 --no-v8-untrusted-code-mitigations --shared-files
bharath     3679    2693  0 Sep26 ?        00:01:04 /opt/google/chrome/chrome --type=renderer --field-trial-handle=14595486428270243459,7769370446139654322,131072 --lang=en-GB --enable-crash-reporter=a4b7f0fc-fb5c-4629-a049-402600c8dad6, --enable-auto-reload --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=69 --no-v8-untrusted-code-mitigations --shared-files
bharath     4426    2693  0 Sep26 ?        00:00:48 /opt/google/chrome/chrome --type=renderer --field-trial-handle=14595486428270243459,7769370446139654322,131072 --lang=en-GB --enable-crash-reporter=a4b7f0fc-fb5c-4629-a049-402600c8dad6, --enable-auto-reload --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=118 --no-v8-untrusted-code-mitigations --shared-files
bharath     4471    2693  0 Sep26 ?        00:01:28 /opt/google/chrome/chrome --type=renderer --field-trial-handle=14595486428270243459,7769370446139654322,131072 --lang=en-GB --enable-crash-reporter=a4b7f0fc-fb5c-4629-a049-402600c8dad6, --enable-auto-reload --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=121 --no-v8-untrusted-code-mitigations --shared-files
bharath     4511    2693  0 Sep26 ?        00:01:09 /opt/google/chrome/chrome --type=renderer --field-trial-handle=14595486428270243459,7769370446139654322,131072 --lang=en-GB --enable-crash-reporter=a4b7f0fc-fb5c-4629-a049-402600c8dad6, --enable-auto-reload --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=124 --no-v8-untrusted-code-mitigations --shared-files
bharath     4944    2693  0 Sep26 ?        00:00:02 /opt/google/chrome/chrome --type=renderer --field-trial-handle=14595486428270243459,7769370446139654322,131072 --lang=en-GB --enable-crash-reporter=a4b7f0fc-fb5c-4629-a049-402600c8dad6, --enable-auto-reload --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=140 --no-v8-untrusted-code-mitigations --shared-files
root        5137    1767  0 Sep26 ?        00:00:00 gdm-session-worker [pam/gdm-password]
bharath     5671    1779  0 Sep26 ?        00:00:00 /bin/bash /usr/bin/atom
bharath     5673    5671  0 Sep26 ?        00:20:21 /usr/share/atom/atom --executed-from=/home/bharath --pid=5656
bharath     5677    5673  0 Sep26 ?        00:00:00 /usr/share/atom/atom --type=zygote
bharath     5679    5677  0 Sep26 ?        00:00:00 /usr/share/atom/atom --type=zygote
bharath     5719    5673  0 Sep26 ?        00:04:59 /usr/share/atom/atom --type=gpu-process --disable-features=SpareRendererForSitePerProcess --gpu-preferences=KAAAAAAAAACAAAAAAQAAAAAAAAAAAGAAAAAAAAEAAAAIAAAAAAAAAAgAAAAAAAAA --service-request-channel-token=15735514770926469104
bharath     5775    1950  0 Sep26 ?        00:00:00 /bin/sh /snap/pycharm-professional/215/bin/pycharm.sh
bharath     5791    5673  0 Sep26 ?        00:20:45 /usr/share/atom/atom --type=renderer --enable-experimental-web-platform-features --disable-features=SpareRendererForSitePerProcess --service-pipe-token=12339565636126054809 --lang=en-GB --app-path=/usr/share/atom/resources/app.asar --node-integration --webview-tag --no-sandbox --no-zygote --background-color=#fff --disable-blink-features=Auxclick --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=12339565636126054809 --renderer-client-id=4 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100,v8_natives_data:101
